congress,chamber,party_code,party_name,n_members,nominate_dim1_median,nominate_dim2_median,nominate_dim1_mean,nominate_dim2_mean
1,President,5000,Pro-Administration,1,,,,
1,House,4000,Anti-Administration,29,0.018,0.092,-0.024379310344827588,0.14193103448275857
1,House,5000,Pro-Administration,37,,,0.5247499999999999,0.018027777777777778
1,Senate,4000,Anti-Administration,9,,,-0.23975,-0.04475000000000002
1,Senate,5000,Pro-Administration,20,0.427,-0.3085,0.3520499999999999,-0.16620000000000001
2,President,5000,Pro-Administration,1,,,,
2,House,4000,Anti-Administration,32,,,-0.0390967741935484,-0.12206451612903224
2,House,5000,Pro-Administration,40,0.533,0.0825,0.5304,0.08162499999999999
2,Senate,4000,Anti-Administration,14,-0.392,-0.544,-0.36121428571428577,-0.308
2,Senate,5000,Pro-Administration,17,0.446,-0.252,0.3864117647058823,-0.11788235294117644
3,President,5000,Pro-Administration,1,,,,
3,House,4000,Anti-Administration,56,,,-0.07198181818181819,-0.1626181818181818
3,House,5000,Pro-Administration,54,,,0.5637115384615385,0.051115384615384625
3,Senate,4000,Anti-Administration,15,-0.37,-0.548,-0.3769333333333334,-0.432
3,Senate,5000,Pro-Administration,18,0.5705,-0.179,0.5734999999999999,0.003888888888888905
4,President,1,Federalist,1,,,,
4,House,1,Federalist,54,0.6034999999999999,0.1375,0.5615555555555557,0.14103703703703704
4,House,13,Democrat-Republican,61,,,-0.11894999999999999,6.666666666665886e-05
4,Senate,1,Federalist,29,,,0.5752499999999999,0.03117857142857142
4,Senate,13,Democrat-Republican,14,,,-0.3927692307692308,-0.34969230769230764
5,President,1,Federalist,1,,,,
5,House,1,Federalist,64,0.622,-0.0165,0.596921875,0.026218750000000002
5,House,13,Democrat-Republican,53,-0.108,-0.042,-0.1381509433962264,-0.07611320754716983
5,Senate,1,Federalist,31,0.717,-0.043,0.5952903225806452,0.034999999999999996
5,Senate,13,Democrat-Republican,14,,,-0.32076923076923075,-0.15200000000000002
6,President,1,Federalist,1,,,,
6,House,1,Federalist,64,0.624,-0.07050000000000001,0.5918749999999999,-0.04340624999999999
6,House,13,Democrat-Republican,50,,,-0.10193877551020408,-0.16224489795918365
6,Senate,1,Federalist,27,0.625,0.036,0.573,0.07748148148148148
6,Senate,13,Democrat-Republican,11,-0.277,0.023,-0.31718181818181823,-0.107
7,President,13,Democrat-Republican,1,0.018,0.516,0.018,0.516
7,House,1,Federalist,40,0.622,-0.17049999999999998,0.6072,-0.031924999999999995
7,House,13,Democrat-Republican,74,,,-0.08423287671232876,-0.025397260273972606
7,Senate,1,Federalist,16,0.6890000000000001,-0.10750000000000001,0.6685,-0.1065
7,Senate,13,Democrat-Republican,20,,,-0.2686842105263158,-0.2416315789473684
8,President,13,Democrat-Republican,1,0.018,0.516,0.018,0.516
8,House,1,Federalist,40,,,0.5991025641025641,-0.21956410256410258
8,House,13,Democrat-Republican,110,,,-0.1060275229357798,0.05273394495412841
8,Senate,1,Federalist,10,0.6665000000000001,-0.32899999999999996,0.6515000000000001,-0.17509999999999998
8,Senate,13,Democrat-Republican,34,-0.2125,-0.22,-0.24017647058823535,-0.2984117647058824
9,President,13,Democrat-Republican,1,0.018,0.516,0.018,0.516
9,House,1,Federalist,29,,,0.5690357142857143,-0.37835714285714284
9,House,13,Democrat-Republican,120,,,-0.09022881355932204,0.03726271186440677
9,Senate,1,Federalist,7,0.646,-0.409,0.6585714285714285,-0.23814285714285713
9,Senate,13,Democrat-Republican,30,-0.1255,-0.16399999999999998,-0.1117666666666667,-0.16503333333333334
10,President,13,Democrat-Republican,1,0.018,0.516,0.018,0.516
10,House,1,Federalist,27,0.599,-0.429,0.5270370370370371,-0.38851851851851854
10,House,13,Democrat-Republican,122,,,-0.06680165289256199,0.05728925619834712
10,Senate,1,Federalist,7,0.619,-0.249,0.6241428571428571,-0.2367142857142857
10,Senate,13,Democrat-Republican,32,,,-0.10064516129032258,-0.012290322580645158
11,President,13,Democrat-Republican,1,0.138,0.731,0.138,0.731
11,House,1,Federalist,51,0.586,-0.43,0.5370588235294118,-0.4072745098039216
11,House,13,Democrat-Republican,103,-0.108,0.095,-0.08787378640776701,0.10989320388349515
11,Senate,1,Federalist,10,0.643,-0.17049999999999998,0.6562,-0.20469999999999997
11,Senate,13,Democrat-Republican,34,,,-0.07175757575757577,0.05157575757575757
12,President,13,Democrat-Republican,1,0.138,0.731,0.138,0.731
12,House,1,Federalist,37,0.591,-0.43,0.5015675675675676,-0.42505405405405405
12,House,13,Democrat-Republican,110,-0.10200000000000001,0.107,-0.09451818181818182,0.10936363636363636
12,Senate,1,Federalist,6,0.5945,-0.14650000000000002,0.6251666666666666,-0.17149999999999999
12,Senate,13,Democrat-Republican,31,-0.126,0.023,-0.0891935483870968,-0.03554838709677417
13,President,13,Democrat-Republican,1,0.138,0.731,0.138,0.731
13,House,1,Federalist,72,,,0.5247042253521127,-0.33983098591549293
13,House,13,Democrat-Republican,124,-0.08449999999999999,0.219,-0.0895725806451613,0.22309677419354837
13,Senate,1,Federalist,10,0.563,-0.242,0.5939,-0.1883
13,Senate,13,Democrat-Republican,36,-0.2145,0.039,-0.12875000000000003,-0.008472222222222221
14,President,13,Democrat-Republican,1,0.138,0.731,0.138,0.731
14,House,1,Federalist,66,,,0.5216000000000001,-0.3680923076923077
14,House,13,Democrat-Republican,133,-0.063,0.18,-0.05621804511278196,0.2003984962406015
14,Senate,1,Federalist,15,0.522,-0.182,0.5280666666666667,-0.1964
14,Senate,13,Democrat-Republican,29,-0.112,0.063,-0.12879310344827585,0.03334482758620689
15,President,13,Democrat-Republican,1,0.13,0.548,0.13,0.548
15,House,1,Federalist,40,0.472,-0.2845,0.41374999999999995,-0.26959999999999995
15,House,13,Democrat-Republican,155,,,0.014701298701298708,0.12035714285714286
15,Senate,1,Federalist,13,0.522,-0.237,0.565,-0.28784615384615386
